Year	Species	X	Y	Ninds
0	0	18	68	10
0	0	18	65	10
0	0	19	66	10
0	0	45	23	10
0	0	45	24	10
0	0	45	22	10
0	0	20	72	10
0	0	21	73	10
0	0	22	73	10
0	0	19	73	10
0	0	21	72	10
0	0	23	72	10
0	0	24	72	10
0	0	25	72	10
0	0	23	73	10
0	0	11	40	10
0	0	50	44	10
0	0	51	52	10
0	0	53	46	10
0	0	52	45	10
0	0	48	47	10
0	0	46	51	10
0	0	16	5	10
0	0	15	7	10
0	0	15	8	10
0	0	31	7	10
0	0	30	6	10
0	0	31	6	10
0	0	29	6	10
0	0	30	7	10
0	0	29	7	10
0	0	2	21	10
0	0	2	22	10
0	0	3	23	10
0	0	3	24	10
0	0	5	28	10
0	0	5	29	10
0	0	4	29	10
0	0	4	28	10
0	0	6	27	10
0	0	31	9	10
0	0	31	10	10
0	0	30	10	10
0	0	27	20	10
0	0	28	20	10
0	0	11	39	10
0	0	12	39	10
0	0	11	38	10
0	0	12	38	10
0	0	18	5	10
0	0	17	4	10
0	0	16	4	10
0	0	19	5	10
0	0	19	6	10
0	0	21	9	10
0	0	15	9	10
0	0	16	10	10
0	0	17	10	10
0	0	14	10	10
0	0	18	10	10
0	0	21	12	10
0	0	39	2	10
0	0	41	2	10
0	0	38	2	10
0	0	41	3	10
0	0	39	3	10
0	0	36	3	10
0	0	39	41	10
0	0	74	22	10
0	0	74	21	10
0	0	17	6	10
0	0	16	6	10
0	0	20	15	10
0	0	14	17	10
0	0	16	14	10
0	0	14	16	10
0	0	15	17	10
0	0	19	14	10
0	0	13	15	10
0	0	16	19	10
0	0	1	18	10
0	0	3	58	10
0	0	4	32	10
0	0	16	20	10
0	0	17	21	10
0	0	18	22	10
0	0	7	8	10
0	0	71	81	10
0	0	28	11	10
0	0	59	52	10
0	0	58	52	10
0	0	58	46	10
0	0	57	54	10
0	0	73	75	10
0	0	72	76	10
0	0	73	76	10
0	0	73	77	10
0	0	72	77	10
0	0	72	78	10
0	0	72	79	10
0	0	73	79	10
0	0	75	76	10
0	0	75	72	10
0	0	73	71	10
0	0	73	72	10
0	0	71	73	10
0	0	70	69	10
0	0	71	69	10
0	0	69	74	10
0	0	71	75	10
0	0	65	79	10
0	0	65	76	10
0	0	20	2	10
0	0	6	17	10
