"id","joinID","X","Y","Agent","OPMpresence","riskPerc","budget","knowledge","nature","access"
1,24,3.88,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
2,25,3.92,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
3,27,4,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
4,29,4.08,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
5,30,4.12,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
6,33,4.24,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
7,34,4.28,0.03,"no_mgmt_NOPM",0,0,0.43,0,3,0
8,45,3.62,0.07,"no_mgmt_NOPM",0,0,0.43,0,2,0
9,46,3.66,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
10,47,3.7,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
11,48,3.74,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
12,49,3.78,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
13,50,3.82,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
14,51,3.86,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
15,52,3.9,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
16,53,3.94,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
17,54,3.98,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
18,55,4.02,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
19,56,4.06,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
20,57,4.1,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
21,58,4.14,0.07,"no_mgmt_NOPM",0,0,0.43,0,2,0
22,59,4.18,0.07,"no_mgmt_NOPM",0,0,0.43,0,2,0
23,60,4.22,0.07,"no_mgmt_NOPM",0,0,0.43,0,2,0
24,61,4.26,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
25,62,4.3,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
26,63,4.34,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
27,64,4.38,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
28,65,4.42,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
29,66,4.46,0.07,"no_mgmt_NOPM",0,0,0.43,0,3,0
30,74,3.52,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
31,75,3.56,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
32,76,3.6,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
33,77,3.64,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
34,78,3.68,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
35,79,3.72,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
36,80,3.76,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
37,81,3.8,0.1,"no_mgmt_NOPM",0,0.5,0.43,0,3,0
38,82,3.84,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,1
39,83,3.88,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,1
40,84,3.92,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,1
41,85,3.96,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,1
42,86,4,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,1
43,87,4.04,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
44,88,4.08,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
45,89,4.12,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
46,90,4.16,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
47,91,4.2,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
48,97,4.44,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
49,98,4.48,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
50,99,4.52,0.1,"no_mgmt_NOPM",0,0,0.43,0,2,0
51,100,4.56,0.1,"no_mgmt_NOPM",0,0,0.43,0,3,0
52,108,3.42,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
53,109,3.46,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
54,110,3.5,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
55,111,3.54,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
56,112,3.58,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
57,113,3.62,0.14,"no_mgmt_NOPM",0,0,0.43,0,2,0
58,114,3.66,0.14,"no_mgmt_NOPM",0,0,0.43,0,2,1
59,115,3.7,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
60,116,3.74,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
61,117,3.78,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
62,118,3.82,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
63,119,3.86,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
64,120,3.9,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
65,121,3.94,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
66,122,3.98,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
67,123,4.02,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,1
68,136,4.54,0.14,"no_mgmt_NOPM",0,0,0.43,0,2,0
69,137,4.58,0.14,"no_mgmt_NOPM",0,0,0.43,0,2,0
70,138,4.62,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
71,139,4.66,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
72,140,4.7,0.14,"no_mgmt_NOPM",0,0,0.43,0,3,0
73,146,3.36,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
74,147,3.4,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
75,148,3.44,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
76,149,3.48,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
77,150,3.52,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
78,151,3.56,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
79,152,3.6,0.17,"no_mgmt_NOPM",0,0,0.43,0,2,1
80,153,3.64,0.17,"no_mgmt_NOPM",0,0,0.43,0,2,1
81,154,3.68,0.17,"no_mgmt_NOPM",0,0,0.43,0,2,1
82,155,3.72,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
83,156,3.76,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
84,157,3.8,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
85,158,3.84,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
86,159,3.88,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
87,160,3.92,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
88,161,3.96,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
89,162,4,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,1
90,163,4.04,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
91,166,4.16,0.17,"no_mgmt_NOPM",0,0.5,0.43,0,2,0
92,177,4.6,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
93,178,4.64,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
94,179,4.68,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
95,180,4.72,0.17,"no_mgmt_NOPM",0,0,0.43,0,3,0
96,187,3.3,0.21,"no_mgmt_NOPM",0,0,0.43,0,3,0
97,188,3.34,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,0
98,189,3.38,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,0
99,190,3.42,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,0
100,191,3.46,0.21,"no_mgmt_NOPM",0,0,0.43,0,3,0
101,192,3.5,0.21,"no_mgmt_NOPM",0,0,0.43,0,3,0
102,193,3.54,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
103,194,3.58,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
104,195,3.62,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
105,196,3.66,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
106,197,3.7,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
107,198,3.74,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
108,199,3.78,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
109,200,3.82,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
110,202,3.9,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
111,203,3.94,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
112,204,3.98,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
113,205,4.02,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,1
114,221,4.66,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,0
115,222,4.7,0.21,"no_mgmt_NOPM",0,0,0.43,0,2,0
116,223,4.74,0.21,"no_mgmt_NOPM",0,0,0.43,0,3,0
117,224,4.78,0.21,"no_mgmt_NOPM",0,0,0.43,0,3,0
118,230,3.16,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
119,231,3.2,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
120,232,3.24,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
121,233,3.28,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
122,234,3.32,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
123,235,3.36,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,0
124,236,3.4,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,0
125,237,3.44,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
126,238,3.48,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,0
127,239,3.52,0.24,"no_mgmt_NOPM",0,0,0.43,0,3,1
128,240,3.56,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
129,241,3.6,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
130,242,3.64,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
131,243,3.68,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
132,244,3.72,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
133,245,3.76,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
134,246,3.8,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
135,248,3.88,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
136,249,3.92,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
137,250,3.96,0.24,"no_mgmt_NOPM",0,0,0.43,0,2,1
